subj=1037124714 permute_sec=54 age=1 sex=dts hand=dts
12-Nov-2002 13:12:09
1037124729 training_phase_instructions
1037124748 I.PE_1
1037124799 PE.I_1
1037124849 A.B
1037124889 I.PE_2
1037124933 I.PL_1
1037124997 A.B
1037125037 PE.I_2
1037125080 C.D
1037125119 I.PE_3
1037125279 PE.I_3
1037125509 PL.I_1
1037125927 PE.I_4
1037126216 PL.I_2
1037129219 I.PL_2
1037129246 B.A
1037129261 PL.I_3
