subj=985973152 permute_sec=52 age=-1 sex=dts hand=dts
30-Mar-2001 12:26:05
985973165 training_phase_instructions
985973253 I.PE_1
985973279 I.PE_2
985973292 I.PL_1
985973315 I.PL_4
985973325 A.B
985973339 C.D
985973367 B.A
985973378 D.C
985973401 C.D
