exp_inits=JK booth=A subj=1139597914 age=49 sex=M hand=R permute_sec=34
10-Feb-2006 13:59:06
1139597946 training_phase_instructions
1139597991 PE.I_1
1139598021 PE.I_3
1139598052 I.PL_2
1139598076 PL.I_4
1139598091 PL.I_2
