X	X	O	X	X	X	O	O	X	O	X	O	O	X	O	O	X	O	Equal	O	968681228	Mon Sep 11  9:07:08 2000

X	X	O	X	O	X	X	O	X	X	O	X	O	X	O	X	Equal	O	Equal	O	968681232	Mon Sep 11  9:07:12 2000

X	X	O	O	X	X	O	O	X	O	X	X	O	X	O	X	X	O	X	O	968694962	Mon Sep 11 12:56:02 2000

X	X	O	X	X	X	O	X	X	O	O	O	X	X	O	X	X	O	X	O	968704448	Mon Sep 11 15:34:08 2000

X	X	O	X	O	X	O	X	X	O	X	O	X	X	O	O	X	O	X	O	968718699	Mon Sep 11 19:31:39 2000

X	X	O	X	X	X	O	O	X	O	O	X	O	X	O	X	X	O	X	O	968718833	Mon Sep 11 19:33:53 2000

X	O	O	O	O	X	O	X	X	O	O	X	O	X	O	X	Equal	Equal	X	O	968722736	Mon Sep 11 20:38:56 2000

X	X	O	O	X	O	X	O	X	O	X	O	O	X	O	O	X	Equal	X	O	968725677	Mon Sep 11 21:27:57 2000

X	X	O	O	X	X	O	X	X	O	X	O	O	X	O	O	X	O	X	O	968726246	Mon Sep 11 21:37:26 2000

X	O	O	O	O	X	O	O	X	O	O	X	O	X	O	X	Equal	Equal	Equal	Equal	968726271	Mon Sep 11 21:37:51 2000

X	O	O	O	O	X	O	O	X	O	O	X	O	X	O	X	Equal	Equal	Equal	X	968726580	Mon Sep 11 21:43:00 2000

X	X	O	X	O	X	O	O	X	O	O	X	O	X	O	X	X	X	X	O	968726696	Mon Sep 11 21:44:56 2000

X	X	O	X	O	X	O	O	X	O	O	X	O	X	O	X	X	X	X	O	968726926	Mon Sep 11 21:48:46 2000

X	X	O	O	X	X	O	X	X	O	O	X	O	X	O	X	X	Equal	X	Equal	968729793	Mon Sep 11 22:36:33 2000

X	X	X	O	X	X	O	X	X	O	X	X	X	X	O	O	X	O	X	O	968730938	Mon Sep 11 22:55:38 2000

X	X	O	O	O	X	O	X	X	O	X	X	O	X	O	O	X	O	X	O	968737165	Tue Sep 12  0:39:25 2000
