.58 .60 .32 .08 .16 .16
.80 .28 .24 .24 .12 .08
.90 .68 .34 .36 .16 .20
.90 .72 .40 .36 .16 .16
.48 .32 .34 .00 .00 .08
.84 .28 .24 .20 .16 .04
.56 .44 .28 .32 .12 .08
.90 .40 .32 .32 .08 .00
.90 .52 .36 .20 .12 .08
.48 .40 .20 .16 .00 .00
.98 .56 .56 .48 .26 .24
.84 .68 .44 .16 .16 .08
.84 .32 .20 .16 .24 .04
.80 .64 .26 .32 .16 .28
.72 .28 .32 .36 .00 .00
.96 .64 .40 .36 .12 .24
.84 .36 .28 .12 .08 .04
.64 .16 .44 .20 .16 .00
.80 .52 .44 .20 .24 .16
.96 .64 .52 .36 .24 .20
.88 .52 .26 .20 .08 .00
.84 .32 .40 .24 .04 .04
.76 .28 .32 .08 .16 .04
.92 .52 .36 .32 .20 .16
.76 .32 .36 .20 .00 .00
.80 .48 .36 .36 .08 .08
.88 .52 .36 .28 .24 .08
.96 .68 .48 .24 .26 .12
.64 .68 .26 .12 .00 .16
.68 .60 .36 .28 .16 .08
.88 .44 .32 .24 .12 .16
.96 .72 .58 .28 .20 .12
.64 .56 .36 .24 .12 .04
.68 .40 .28 .16 .04 .00
.88 .68 .36 .24 .08 .16

