1 1 .130
1 1 .430
1 1 .430
1 1 .350
1 1 .380
1 1 .480
1 1 .500
1 1 .300
1 1 .400
1 1 .730
1 1 .430
1 1 .600
1 1 .530
1 1 .500
1 1 .280
1 1 .300
1 1 .500
1 1 .580
1 1 .550
1 1 .430
1 2 .210
1 2 .260
1 2 .010
1 2 .430
1 2 .310
1 2 .460
1 2 .210
1 2 .230
1 2 .380
1 2 .330
1 2 .430
1 2 .110
1 2 .210
1 2 .430
1 2 .210
1 2 .180
1 2 .530
1 2 .530
1 2 .280
1 2 .080
2 1 .200
2 1 .150
2 1 .350
2 1 .400
2 1 .120
2 1 .020
2 1 .370
2 1 .220
2 1 .070
2 1 .000
2 1 .000
2 1 .220
2 1 .000
2 1 .070
2 1 .550
2 1 .050
2 1 .350
2 1 .250
2 1 .200
2 1 .420
2 2 .460
2 2 .530
2 2 .060
2 2 .310
2 2 .030
2 2 .480
2 2 .160
2 2 .160
2 2 .580
2 2 .180
2 2 .460
2 2 .260
2 2 .180
2 2 .380
2 2 .080
2 2 .360
2 2 .210
2 2 .380
2 2 .180
2 2 .530
