exp_inits=eh booth=D subj=1013176927 age=1 sex=dts hand=dts permute_sec=07
08-Feb-2002 09:02:40
1013176960 training_phase_instructions
1013176968 PL.I_2
1013176994 PE.I_1
1013177010 PE.I_2
1013177029 C.D
1013177059 I.PL_1
1013177078 I.PL_4
1013177092 PL.I_3
1013177106 I.PE_1
1013177123 I.PL_2
1013177140 I.PL_3
1013177153 D.C
1013177179 PE.I_3
1013177226 PL.I_4
1013177241 PL.I_1
1013177299 PE.I_4
1013177321 I.PE_2
