exp_inits=ek booth=A subj=1013800324 age=21 sex=F hand=R permute_sec=04
15-Feb-2002 14:12:27
1013800347 training_phase_instructions
1013800491 I.PE_1
1013800528 PE.I_1
1013800556 A.B
1013800584 I.PE_2
1013800611 I.PL_1
1013800642 PE.I_2
1013800665 C.D
1013800692 I.PE_3
1013800715 PE.I_3
1013800736 PL.I_1
1013800768 PE.I_4
1013800794 PL.I_2
1013800821 I.PL_2
1013800843 I.PL_2
1013800867 B.A
1013800894 PL.I_3
