subj=1070472631 permute_sec=31 age=99 sex=dts hand=dts
03-Dec-2003 12:30:44
1070472644 training_phase_instructions
1070473686 I.PE_1
1070473903 PE.I_1
1070474033 A.B
1070474102 I.PE_2
1070474176 I.PL_1
1070474279 PE.I_2
1070474346 C.D
1070474407 I.PE_3
1070474956 PE.I_3
1070475004 PL.I_1
1070475084 PE.I_4
1070475187 PL.I_2
1070475238 I.PL_2
1070475423 B.A
1070475481 PL.I_3
1070475536 I.PE_4
