1  1  11 
1  2  8 
1  3  10 
1  4  13 
1  5  11 
1  6  12 
1  7  13 
1  8  9 
1  9  15 
1  10  9 
1  11  14 
1  12  7 
1  13  9 
1  14  14 
1  15  12 
1  16  10 
1  17  13 
1  18  10 
1  19  8 
1  20  11 
1  21  8 
1  22  8 
1  23  11 
1  24  6 
1  25  11 
2  1  15 
2  2  14 
2  3  14 
2  4  18 
2  5  15 
2  6  14 
2  7  15 
2  8  11 
2  9  16 
2  10  10 
2  11  15 
2  12  11 
2  13  15 
2  14  17 
2  15  14 
2  16  13 
2  17  15 
2  18  14 
2  19  8 
2  20  12 
2  21  9 
2  22  11 
2  23  14 
2  24  8 
2  25  12 
