1	1	2	2	1	1	1	2	1	2	1	1	2	1	2	1	1.00	2.00	1.00	2.00	890778696	Tue Mar 24 17:31:36 1998

1	1	2	2	1	1	2	2	1	1	2	1	2	1	2	2	1.50	1.75	1.25	1.25	890779882	Tue Mar 24 17:51:22 1998

1	2	2	1	2	1	2	1	1	2	2	2	2	1	2	1	1.00	1.25	1.00	1.00	890780752	Tue Mar 24 18:05:52 1998

1	1	2	2	1	1	2	2	1	1	2	1	2	1	2	2	1.50	2.00	1.00	1.25	890781264	Tue Mar 24 18:14:24 1998

1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1.75	1.00	1.25	1.25	890781964	Tue Mar 24 18:26:04 1998

1	2	2	2	1	1	2	1	1	2	1	1	2	1	2	2	1.00	1.75	1.25	2.00	890783103	Tue Mar 24 18:45:03 1998

1	2	2	2	1	1	2	2	1	2	1	1	2	1	2	1	1.00	1.75	1.00	1.75	890783130	Tue Mar 24 18:45:30 1998

1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	1.50	1.75	1.00	1.25	890783704	Tue Mar 24 18:55:04 1998

1	2	1	1	2	1	2	1	2	2	2	1	2	2	1	1	1.25	1.75	1.25	1.75	890784353	Tue Mar 24 19:05:53 1998

1	2	2	2	1	1	2	1	1	2	2	1	2	1	2	1	1.00	1.75	1.00	2.00	890784963	Tue Mar 24 19:16:03 1998

1	1	1	2	2	1	2	1	1	2	2	1	2	1	2	1	1.50	1.50	1.50	1.75	890785684	Tue Mar 24 19:28:04 1998

1	1	2	2	1	1	2	1	1	2	1	1	2	1	2	1	1.75	1.00	1.75	1.25	890790569	Tue Mar 24 20:49:29 1998

1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	2	1.75	1.75	1.25	1.75	890793451	Tue Mar 24 21:37:31 1998

1	1	2	2	1	1	2	2	1	2	1	1	2	1	2	1	1.25	1.75	1.25	1.75	890795526	Tue Mar 24 22:12:06 1998

2	1	2	2	1	1	2	1	1	2	2	1	2	1	2	1	1.00	1.75	1.00	2.00	890798385	Tue Mar 24 22:59:45 1998

1	1	2	2	1	1	2	1	1	2	1	2	2	1	2	1	1.25	1.50	1.00	1.75	890801583	Tue Mar 24 23:53:03 1998

1	1	2	2	2	1	2	1	1	2	2	1	1	1	2	1	1.75	1.25	1.75	1.75	890832191	Wed Mar 25  8:23:11 1998

2	1	2	1	1	1	2	2	1	2	1	2	1	1	2	2	1.00	1.75	1.00	1.75	890835670	Wed Mar 25  9:21:10 1998

1	1	2	1	2	1	2	2	1	2	2	1	2	1	2	2	1.00	1.75	1.00	2.00	890839485	Wed Mar 25 10:24:45 1998

1	1	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1.25	1.25	1.75	1.50	890847414	Wed Mar 25 12:36:54 1998

1	1	1	2	2	2	2	1	1	2	2	1	2	1	2	1	1.00	1.00	1.00	1.00	890847663	Wed Mar 25 12:41:03 1998

1	2	1	2	2	2	2	1	2	2	1	1	1	1	2	1	1.25	1.75	1.25	1.75	890847813	Wed Mar 25 12:43:33 1998

1	2	2	1	2	1	2	1	1	2	1	2	1	1	2	2	1.25	1.75	1.25	1.75	890851305	Wed Mar 25 13:41:45 1998

1	2	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1.00	1.25	1.00	1.25	890851948	Wed Mar 25 13:52:28 1998

1	1	2	2	1	1	2	1	1	2	1	2	2	1	2	1	1.00	1.75	1.00	2.00	890853705	Wed Mar 25 14:21:45 1998

1	1	2	1	2	1	2	1	1	2	2	1	1	1	2	2	1.00	2.00	1.00	1.50	890853995	Wed Mar 25 14:26:35 1998

1	1	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1.00	1.00	2.00	1.00	890855527	Wed Mar 25 14:52:07 1998

1	1	2	1	2	1	2	1	1	2	2	1	2	1	2	1	1.00	1.00	1.00	1.00	890856046	Wed Mar 25 15:00:46 1998

1	1	2	1	2	1	2	2	1	2	2	1	2	1	2	1	1.25	1.75	1.25	1.25	890860201	Wed Mar 25 16:10:01 1998

1	2	2	1	2	1	2	1	1	2	2	1	2	1	2	1	1.25	1.25	1.25	1.25	890864790	Wed Mar 25 17:26:30 1998

1	1	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1.25	1.75	1.25	1.75	890867805	Wed Mar 25 18:16:45 1998

1	2	2	2	2	1	2	2	1	2	2	1	2	1	2	1	1.00	1.25	1.00	1.25	890869540	Wed Mar 25 18:45:40 1998

1	2	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1.25	1.25	1.75	1.25	890874572	Wed Mar 25 20:09:32 1998

1	2	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1.25	1.75	1.25	1.75	890874797	Wed Mar 25 20:13:17 1998

1	2	1	2	2	1	2	1	1	2	2	1	1	1	2	1	1.00	2.00	1.00	2.00	890878568	Wed Mar 25 21:16:08 1998

1	1	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1.25	1.50	1.25	1.50	890879033	Wed Mar 25 21:23:53 1998

1	2	2	1	1	1	2	1	1	2	2	1	2	1	2	1	1.00	2.00	1.00	1.75	890883779	Wed Mar 25 22:42:59 1998

1	1	1	2	2	1	2	1	1	1	2	1	2	1	2	1	1.75	2.00	2.00	2.00	890892630	Thu Mar 26  1:10:30 1998

1	1	2	2	2	2	2	1	2	2	1	1	2	2	2	1	2.00	1.00	2.00	1.00	890918373	Thu Mar 26  8:19:33 1998

1	2	1	2	1	1	2	1	1	2	2	1	1	1	2	1	1.00	1.75	1.00	1.75	890922025	Thu Mar 26  9:20:25 1998

2	1	2	2	2	2	2	1	1	2	2	1	2	1	2	1	1.00	1.25	1.00	1.50	890925011	Thu Mar 26 10:10:11 1998

1	1	1	2	2	1	2	2	1	2	1	1	2	1	2	1	1.00	2.00	1.00	2.00	890926762	Thu Mar 26 10:39:22 1998

1	2	1	2	2	1	2	1	1	2	2	1	2	1	2	1	1.00	2.00	1.00	1.75	891121641	Sat Mar 28 16:47:21 1998

1	1	2	1	1	1	2	2	1	2	2	1	2	1	2	1	1.00	2.00	1.25	1.75	891522159	Thu Apr  2  8:02:39 1998

1	2	1	2	1	1	1	2	1	2	1	1	2	1	2	2	1.00	2.00	1.00	2.00	891522288	Thu Apr  2  8:04:48 1998

1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00	1.00	1.00	1.00	891525991	Thu Apr  2  9:06:31 1998

1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1.00	1.50	1.25	1.75	891529830	Thu Apr  2 10:10:30 1998

1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00	1.00	1.00	1.00	892136406	Thu Apr  9 10:40:06 1998

1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00	1.00	1.00	1.00	893186699	Tue Apr 21 14:24:59 1998

